"hours_studied","avg_exam_score"
43,78.0
39,75.0
38,73.5
37,73.0
36,70.42857142857143
35,72.3125
34,71.1875
33,70.33333333333333
32,71.325
31,70.55319148936171
30,71.43283582089552
29,70.2560975609756
28,69.8256880733945
27,69.77685950413223
26,68.8013698630137
25,69.0
24,68.48387096774194
23,68.20746887966806
22,67.72151898734177
21,67.7104247104247
20,67.21863799283155
19,67.21176470588236
18,67.024
17,66.40182648401826
16,66.58604651162791
15,65.9010989010989
14,65.8622754491018
13,64.97619047619048
12,64.96610169491525
11,65.14583333333333
